BIL;DEST;VPV;SPV;SNV;VNV;NSP;DK;TP;TN
D-E_DE;DE;25%;57%;15%;3%;2;- ;82%;18%
EE_DE;DE;19%;53%;15%;5%;79;8%;72%;20%
IE_DE;DE;24%;49%;18%;4%;53;5%;73%;22%
EL_DE;DE;3%;18%;34%;43%;14;2%;21%;77%
ES_DE;DE;18%;45%;25%;6%;56;6%;63%;31%
FR_DE;DE;13%;62%;14%;4%;75;7%;75%;18%
HR_DE;DE;41%;45%;9%;2%;29;3%;86%;11%
IT_DE;DE;12%;42%;29%;10%;68;7%;54%;39%
CY_DE;DE;8%;28%;32%;25%;33;7%;36%;57%
LV_DE;DE;17%;60%;13%;3%;70;7%;77%;16%
LT_DE;DE;47%;43%;7%;1%;22;2%;90%;8%
LU_DE;DE;24%;52%;17%;5%;7;2%;76%;22%
HU_DE;DE;11%;48%;30%;7%;41;4%;59%;37%
MT_DE;DE;18%;57%;11%;3%;56;11%;75%;14%
NL_DE;DE;48%;47%;4%;- ;13;1%;95%;4%
AT_DE;DE;17%;44%;29%;7%;28;3%;61%;36%
PL_DE;DE;11%;59%;21%;3%;57;6%;70%;24%
PT_DE;DE;12%;36%;37%;10%;55;5%;48%;47%
RO_DE;DE;32%;44%;17%;3%;44;4%;76%;20%
SI_DE;DE;20%;57%;17%;4%;21;2%;77%;21%
SK_DE;DE;18%;53%;20%;7%;20;2%;71%;27%
FI_DE;DE;26%;68%;5%;- ;12;1%;94%;5%
SE_DE;DE;42%;50%;5%;1%;18;2%;92%;6%
UK_DE;DE;20%;47%;19%;4%;126;10%;67%;23%
UE_28_FR;FR;13%;56%;22%;4%;1530;5%;69%;26%
BE_FR;FR;10%;63%;23%;3%;7;1%;73%;26%
BG_FR;FR;23%;51%;10%;3%;135;13%;74%;13%
CZ_FR;FR;17%;59%;19%;3%;18;2%;76%;22%
DK_FR;FR;22%;54%;17%;2%;48;5%;76%;19%
D-W_FR;FR;10%;60%;23%;2%;49;5%;70%;25%
DE_FR;FR;11%;60%;22%;2%;72;5%;71%;24%
D-E_FR;FR;13%;59%;21%;3%;20;4%;72%;24%
EE_FR;FR;12%;57%;18%;2%;107;11%;69%;20%
IE_FR;FR;22%;52%;17%;4%;52;5%;74%;21%
EL_FR;FR;12%;54%;24%;8%;23;2%;66%;32%
ES_FR;FR;15%;56%;20%;2%;67;7%;71%;22%
FR_FR;FR;10%;57%;24%;5%;42;4%;67%;29%
HR_FR;FR;23%;54%;16%;1%;56;6%;77%;17%
IT_FR;FR;7%;51%;30%;6%;63;6%;58%;36%
CY_FR;FR;15%;56%;16%;5%;42;8%;71%;21%
LV_FR;FR;12%;63%;11%;2%;118;12%;75%;13%
LT_FR;FR;36%;49%;10%;1%;43;4%;85%;11%
LU_FR;FR;11%;46%;32%;8%;16;3%;57%;40%
HU_FR;FR;6%;51%;30%;7%;62;6%;57%;37%
MT_FR;FR;11%;57%;17%;2%;63;13%;68%;19%
NL_FR;FR;14%;56%;26%;2%;16;2%;70%;28%
AT_FR;FR;15%;50%;28%;3%;37;4%;65%;31%
PL_FR;FR;9%;62%;19%;2%;77;8%;71%;21%
PT_FR;FR;15%;64%;13%;3%;56;5%;79%;16%
RO_FR;FR;24%;51%;18%;2%;52;5%;75%;20%
